ｻｰﾋﾞｽ種類,区名,介護保険事業所番号,申請者-法人名,事業所-名称,事業所-郵便番号,事業所-所在地,事業所-直通電話番号,事業所-FAX番号,状態区分,介護,予防,経度,緯度
訪問介護,南区,3470104062,有限会社開花,ヘルパーステーション開花,734-0052,広島市南区堀越三丁目１１番１－１０１号,082-288-6251,082-284-7477,現存,○,,132.3043635,34.22205789
訪問介護,西区,3470204193,有限会社リラックス,訪問介護事業所りらっくす井口,733-0842,広島市西区井口一丁目９番１７ー１０７号,082-239-1011,082-299-1181,現存,○,,132.2324078,34.22381956
訪問介護,西区,3470213772,株式会社ニチイ学館,ニチイケアセンター井口,733-0842,広島市西区井口二丁目１９番４２－１０３号,082-270-1270,082-277-1633,現存,○,,132.2301431,34.22252122
訪問介護,西区,3470215017,株式会社さくらモンデックス,さくら・介護ステーション満天西,733-0841,広島市西区井口明神二丁目１番３号アネックスＤ２０１号室,082-961-6150,082-961-6149,現存,○,,132.2305926,34.22154829
訪問介護,西区,3470216080,株式会社シーユーシー・ホスピス,介護クラーク広島,733-0843,広島市西区井口鈴が台一丁目１番８号,082-299-0311,082-299-2871,現存,○,,132.2247002,34.22316604
訪問介護,西区,3470210406,株式会社Seiwa,ヘルパーステーションハピネス,733-0013,広島市西区横川新町９番７号,082-232-8817,082-232-8818,現存,○,,132.2646591,34.24293028
訪問介護,西区,3470203153,株式会社ベネッセスタイルケア,ベネッセ介護センター広島,733-0011,広島市西区横川町３－８－２第２信和ビル５Ｆ,082-207-1727,082-207-1728,現存,○,,132.2715382,34.24342912
訪問介護,西区,3470214036,一般社団法人パプリカ,訪問介護事業所パプリカ,733-0036,広島市西区観音新町一丁目３番２６－２０４号,082-961-3902,082-961-3903,休止,○,,132.2540644,34.22420792
訪問介護,西区,3470201272,広島中央保健生活協同組合,広島中央保健生協ヘルパーステーション,733-0031,広島市西区観音町１６番１９号,082-532-1256,082-532-1257,現存,○,,132.2613547,34.23403548
訪問介護,西区,3470209861,あなぶきメディカルケア株式会社,あなぶきケアサービス広島訪問介護事業所,733-0033,広島市西区観音本町一丁目１３番２８号,082-942-6355,082-942-6356,現存,○,,132.2613348,34.23197045
訪問介護,西区,3470214564,株式会社worth’it,LA・LA　Ｃare,733-0033,広島市西区観音本町一丁目３番16号カーサ・ワタナベ１F,082-554-0400,082-554-0401,現存,○,,132.261868,34.23218722
訪問介護,西区,3470209242,ポスモプラザ株式会社,あいわ訪問介護ステーション,733-0033,広島市西区観音本町二丁目１１番１５号,082-942-4466,082-942-4158,現存,○,,132.2554642,34.23225913
訪問介護,西区,3470215793,株式会社おむすび,訪問介護事業所そわか,733-0873,広島市西区古江新町８番１４号,082-942-6715,082-842-6716,現存,○,,132.2438647,34.23033
訪問介護,西区,3470214812,株式会社HACS,ひまわり介護,733-0815,広島市西区己斐上三丁目３番１３号,082-533-7770,,現存,○,,132.2504913,34.24317984
訪問介護,西区,3470213509,医療法人社団石田内科,ヘルパーステーションおれんじ,733-0815,広島市西区己斐上四丁目２６番１号,082-299-8740,082-554-5726,現存,○,,132.250603,34.24361691
訪問介護,西区,3470213921,グリーンライフ株式会社,楽リハヘルパーステーション広島己斐,733-0815,広島市西区己斐上四丁目４番１２号,082-507-7386,,現存,○,,132.2521825,34.2450215
訪問介護,西区,3470213848,株式会社スマイルケア,ヘルパーステーションスマイルケア,733-0814,広島市西区己斐西町６番１５号コーポ田中１０１,082-961-5766,082-299-7887,現存,○,,132.2528244,34.23542678
訪問介護,西区,3470204060,医療法人社団林医院,ルネッサンスホームヘルプ,733-0813,広島市西区己斐中二丁目１３番４２号タウニー１０２号室,082-272-6099,082-208-5200,休止,○,,132.2535224,34.24066023
訪問介護,西区,3470210844,株式会社八心,あーくすけあういむい,733-0812,広島市西区己斐本町一丁目２３番５号,082-273-8556,082-273-8557,現存,○,,132.2540966,34.23462647
訪問介護,西区,3470212592,ヘルパーステーション髙山株式会社,ヘルパーステーション髙山,733-0812,広島市西区己斐本町一丁目２番１５号ＦコートＢ棟３０１号,082-271-0227,082-271-0228,現存,○,,132.2552188,34.23588609
訪問介護,西区,3470202007,医療法人あかね会,土谷ヘルパーステーション西広島,733-0812,広島市西区己斐本町二丁目７番１号,082-507-0877,082-507-0856,現存,○,,132.2536037,34.2341945
訪問介護,西区,3470213202,株式会社L.S.I.,ヘルパーステーションかがやき西広島,733-0822,広島市西区庚午中一丁目８番２１－２０１号,082-208-5420,082-208-5421,現存,○,,132.2459673,34.23038357
訪問介護,西区,3470205059,有限会社幾久,幾久訪問介護事業所,733-0822,広島市西区庚午中三丁目６番９号,082-527-2877,082-527-2866,現存,○,,132.2442221,34.22585037
訪問介護,西区,3470212667,Common株式会社,コモン訪問介護事業所,733-0822,広島市西区庚午中四丁目１５番３５号,082-554-5212,082-554-5215,現存,○,,132.245622,34.22464971
訪問介護,西区,3470202452,株式会社ニチイ学館,ニチイケアセンターこうご,733-0822,広島市西区庚午中四丁目７番２２号,082-507-6283,082-507-6285,現存,○,,132.2449662,34.2256254
訪問介護,西区,3470214861,株式会社マグネット,マグネット西,733-0822,広島市西区庚午中二丁目１９番３１号,082-510-1950,082-275-5799,休止,○,,132.2444705,34.23121588
訪問介護,西区,3470214580,株式会社ｗｉｓｈＡＩ,はぴねすケアサービス,733-0821,広島市西区庚午北四丁目６番２４－２０１号,082-507-0057,082-507-0058,現存,○,,132.2507758,34.23150733
訪問介護,西区,3470215801,株式会社マリモソーシャルソリューションズ,マリモヘルパーステーション,733-0821,広島市西区庚午北二丁目１６番１０号,082-275-5630,082-275-5638,現存,○,,132.2511253,34.23203227
訪問介護,西区,3470204904,株式会社フォーユー,ヘルパーステーション・イルカ,733-0821,広島市西区庚午北二丁目１７番４号船本ビル１０３号,082-507-1544,082-507-1545,現存,○,,132.2509679,34.23189986
訪問介護,西区,3470210455,株式会社ケア２１,ケア２１横川,733-0003,広島市西区三篠町一丁目４番５号さくらビル１階,082-537-0933,082-237-1756,現存,○,,132.2711459,34.24431772
訪問介護,西区,3470215389,一般社団法人ソーシャルリンク,訪問介護ステーションあさなぎ,733-0003,広島市西区三篠町一丁目７番２１号カワミビル１０２,082-553-9731,082-207-4787,現存,○,,132.2707245,34.24417514
訪問介護,西区,3470203377,有限会社あすなろ,あすなろ介護センター,733-0003,広島市西区三篠町三丁目１番１号,082-537-1525,082-537-1526,休止,○,,132.2725434,34.24568833
訪問介護,西区,3470208699,株式会社サイプレス,ヘルパーステーションひのき,733-0006,広島市西区三篠北町１８番４－２０１号,082-230-1916,082-230-1936,現存,○,,132.2720637,34.250366
訪問介護,西区,3470215819,株式会社アンビス,医心館　訪問介護ステーション　広島横川,733-0005,広島市西区三滝町１２番２２号,082-836-7230,082-836-7231,現存,○,,132.2658831,34.24525043
訪問介護,西区,3470207972,プロジェクトケンコー株式会社,アイ・アイ介護センター,733-0005,広島市西区三滝町２番７号,082-237-4393,082-238-4050,現存,○,,132.270692,34.2500785
訪問介護,西区,3470201744,社会福祉法人広島県同胞援護財団,訪問介護事業所千歳園,733-0853,広島市西区山田新町二丁目７番２号,082-272-5210,082-273-8795,現存,○,,132.2312985,34.23574873
訪問介護,西区,3470200506,サンキ・ウエルビィ株式会社,サンキ・ウエルビィ介護センター本店,733-0833,広島市西区商工センター六丁目１番１１号,082-278-1330,082-278-2115,現存,○,,132.2322957,34.22104329
訪問介護,西区,3470201959,社会福祉法人西中国キリスト教社会事業団,訪問介護事業所かりん,733-0025,広島市西区小河内町一丁目１３番３号,082-232-4274,082-232-4284,現存,○,,132.261282,34.23542128
訪問介護,西区,3470215124,株式会社ニックス,ニックス西訪問介護事業所,733-0025,広島市西区小河内町一丁目４番１３号,082-299-6811,082-233-0294,現存,○,,132.2611996,34.23586459
訪問介護,西区,3470203179,特定非営利活動法人障害者生活支援センターてごーす,介護センターぽわっと,733-0025,広島市西区小河内町二丁目７番５号,082-294-4185,082-294-4184,現存,○,,132.2622151,34.24057427
訪問介護,西区,3470203872,株式会社エムエーエス,きらり介護ステーション,733-0037,広島市西区西観音町１番１０号AXIS-WILL西観音sta.２０２号室,082-297-4313,082-297-4345,現存,○,,132.2618805,34.23343515
訪問介護,西区,3470212998,株式会社さくら介護グループ,さくら・介護ステーション草津新町,733-0834,広島市西区草津新町二丁目１５番１１号小川コーポ２０３号,082-275-5602,082-275-5623,現存,○,,132.2339421,34.22278571
訪問介護,西区,3470215249,株式会社猫の月,ヘルパーステーションそら,733-0834,広島市西区草津新町二丁目19番19号草津タウンハウス202号,082-909-9506,,現存,○,,132.2351529,34.22311148
訪問介護,西区,3470202528,株式会社アイメディカル,アイメディカルヘルパーステーション,733-0861,広島市西区草津東一丁目５番１０号,082-507-5888,082-507-6345,現存,○,,132.2427777,34.22452664
訪問介護,西区,3470213657,株式会社インフィニ,ヘルパーステーションらしく,733-0863,広島市西区草津南三丁目７番１３号,082-275-6766,082-533-8773,現存,○,,132.2341589,34.22370828
訪問介護,西区,3470200902,株式会社ニチイ学館,ニチイケアセンター広島西,733-0007,広島市西区大宮一丁目１５番１５号,082-537-0821,082-537-0822,現存,○,,132.2715551,34.25147488
訪問介護,西区,3470214614,株式会社ＵＴ－Ｇ,ケアスペースあるこ,733-0007,広島市西区大宮一丁目１番３３－３０１号,082-836-7557,,現存,○,,132.2727414,34.25161942
訪問介護,西区,3470205828,有限会社コスモケア・サポート,コスモケア訪問介護事業所,733-0007,広島市西区大宮一丁目２２番１２ー２号,082-537-0027,082-239-0128,現存,○,,132.2720172,34.25114211
訪問介護,西区,3470206909,株式会社愛総合福祉,愛・訪問介護ステーション広島西,733-0012,広島市西区中広町三丁目１３番２号エム・シービル１階,082-532-5055,082-532-5056,現存,○,,132.2648271,34.2417413
訪問介護,西区,3470214978,one calm株式会社,訪問介護事業所たいよう,733-0012,広島市西区中広町三丁目１４番１５号,082-548-4970,082-548-4971,現存,○,,132.2643322,34.24179717
訪問介護,西区,3470213996,スマイリーここあ株式会社,スマイリーここあ,733-0023,広島市西区都町９番３号ハイツ達川１階,082-533-6433,082-533-6435,現存,○,,132.2616644,34.23540214
訪問介護,西区,3470207170,株式会社幸の樹,訪問介護事業所しあわせの樹,733-0032,広島市西区東観音町１８番１５－２０１号,082-532-7272,082-532-7273,現存,○,,132.2619364,34.23274889
訪問介護,西区,3470206305,有限会社スローライフ広島,ヘルパーステーションゆず西,733-0032,広島市西区東観音町２３番２号,082-296-2601,082-296-2602,現存,○,,132.2630254,34.23236064
訪問介護,西区,3470214184,株式会社ツクイ,ツクイ広島西,733-0035,広島市西区南観音五丁目１１番１０号,082-297-6166,082-297-6165,現存,○,,132.25298,34.2251782
訪問介護,西区,3470215843,株式会社Seiwa,ヘルパーステーションハピネス観音,733-0035,広島市西区南観音五丁目1番18号,082-231-8817,082-231-8818,現存,○,,132.253162,34.23017384
訪問介護,西区,3470215884,合同会社ＯＵＲＳＴＯＲＹ,ヘルパーステーションことのは,733-0035,広島市西区南観音四丁目７番２０号,082-533-7458,082-533-7459,現存,○,,132.2530761,34.23057538
訪問介護,西区,3470204136,生活協同組合ひろしま,生協ひろしま介護サービス・広島中,733-0035,広島市西区南観音七丁目１６番１５号タワービルカワムラⅢ３階,082-503-0682,082-295-7080,現存,○,,132.2544187,34.22428994
訪問介護,西区,3470204912,有限会社祥,祥ヘルパーステーション,733-0034,広島市西区南観音町５番１７号,082-532-4646,082-532-4641,現存,○,,132.2603161,34.23142364
訪問介護,西区,3470216015,株式会社リバティウェル,ヘルパーステーションきらきらケア,733-0035,広島市西区南観音二丁目５番２４－２０３号,082-299-7457,082-299-7458,現存,○,,132.2552514,34.23014565
訪問介護,西区,3470214911,Ｃｏｍｍｏｎ株式会社,コモンハウスヘルパーステーション,733-0002,広島市西区楠木町一丁目１２番３号,082-299-0765,082-275-6725,現存,○,,132.2715565,34.24302056
訪問介護,西区,3470207584,株式会社つなぐ,つなぐ訪問介護事業所,733-0002,広島市西区楠木町一丁目１３番６号,082-297-2900,082-297-2901,現存,○,,132.2718807,34.24283582
訪問介護,西区,3470208954,株式会社エンジョイ・ラボ,介護のドリプロ広島,733-0002,広島市西区楠木町一丁目１６番１０号,082-296-3505,082-296-3506,現存,○,,132.2711039,34.24245419
訪問介護,西区,3470215751,フライングスタート合同会社,訪問介護ステーションゆえん西広島,733-0024,広島市西区福島町二丁目２４番２１号,082-942-5440,082-836-5371,現存,○,,132.2553986,34.23315709
訪問介護,西区,3470102132,有限会社ナックユノ,ありらん,733-0024,広島市西区福島町二丁目４番９号,082-234-1112,082-234-9230,現存,○,,132.2557993,34.2340441
訪問介護,安佐南区,3470212568,株式会社Seiwa,ヘルパーステーションハピネス安東,731-0153,広島市安佐南区安東六丁目４番５２－５号,082-832-8817,082-878-8818,現存,○,,132.2714098,34.28366423
訪問介護,安佐南区,3470202973,株式会社オムエル,オムエル祇園ヘルパーステーション,731-0138,広島市安佐南区祇園五丁目２番４５－３０３号祇園クリニックビル３階,082-875-2761,082-875-0070,現存,○,,132.273803,34.26500449
訪問介護,安佐南区,3470207857,株式会社ＥＡＲＴＨ,訪問介護事業所ポケット,731-0138,広島市安佐南区祇園三丁目２１番３０号４Ｆ,082-962-5264,082-962-5284,現存,○,,132.2729078,34.26277306
訪問介護,安佐南区,3470210190,医療法人誠正会,ヘルパーステーションこじま,731-0138,広島市安佐南区祇園四丁目８番２号１０１号室,082-554-1470,082-554-1470,現存,○,,132.2721462,34.26267852
訪問介護,安佐南区,3470204532,有限会社しらかば,しらかば訪問介護事業所,731-0138,広島市安佐南区祇園二丁目１４番６－９号,082-871-4227,082-832-5567,現存,○,,132.2800825,34.26402966
訪問介護,安佐南区,3470208442,医療法人メディカルパーク,野村病院ヘルパーステーション「ながつか」,731-0138,広島市安佐南区祇園二丁目４２番１４号,082-832-5677,082-875-9672,現存,○,,132.2754518,34.26200093
訪問介護,安佐南区,3470215421,株式会社幸和,さくら・介護ステーションふるいちばし,731-0123,広島市安佐南区古市四丁目４番２８号クレスト古市橋２０３号室,090-4895-2969,082-548-9247,現存,○,,132.2805148,34.27048448
訪問介護,安佐南区,3470214259,株式会社ニチイ学館,ニチイケアセンター高取,731-0144,広島市安佐南区高取北一丁目４番３０号サンビル４F－B号,082-832-7562,,現存,○,,132.2615378,34.28312314
訪問介護,安佐南区,3470216049,一般社団法人はるはる,ココエールケア,731-0137,広島市安佐南区山本一丁目２３番２５－１０２号,082-555-0330,082-555-0330,現存,○,,132.2717814,34.26070918
訪問介護,安佐南区,3470208160,株式会社ニチイ学館,ニチイケアセンター山本,731-0137,広島市安佐南区山本三丁目２５番６号,082-850-2551,082-871-0660,現存,○,,132.2703319,34.26184303
訪問介護,安佐南区,3470207378,サンキ・ウエルビィ株式会社,サンキ・ウエルビィ介護センター祇園,731-0137,広島市安佐南区山本四丁目１１番２４号,082-850-2380,082-846-0032,現存,○,,132.2655613,34.26151414
訪問介護,安佐南区,3470215371,合同会社ピースガーデン,訪問介護ステーションハナミズキ,731-3271,広島市安佐南区沼田町阿戸３６３４－１番地,082-205-6799,082-218-2610,現存,○,,132.2124257,34.29049321
訪問介護,安佐南区,3470200951,社会福祉法人慈光会,上安慈光園訪問介護事業所,731-0154,広島市安佐南区上安二丁目２３番５号,082-878-8600,082-878-8711,現存,○,,132.2643023,34.28306775
訪問介護,安佐南区,3470201314,社会福祉法人ＩＧＬ学園福祉会,ＩＧＬヘルパーステーションシャレー,731-0154,広島市安佐南区上安六丁目３１番２号,082-830-3324,082-830-3327,現存,○,,132.2641112,34.28595493
訪問介護,安佐南区,3470201280,広島医療生活協同組合,ヘルパーステーション虹訪問介護事業所,731-0113,広島市安佐南区西原九丁目８番２２号,082-225-7790,082-871-1081,現存,○,,132.2818936,34.26491555
訪問介護,安佐南区,3470214531,しあわせづくり株式会社,しあわせづくり訪問介護,731-0113,広島市安佐南区西原三丁目１１番１号,082-836-4165,,現存,○,,132.2821133,34.26076165
訪問介護,安佐南区,3470208251,医療法人博善会,ヘルパーステーションながお,731-0113,広島市安佐南区西原四丁目１７番１７号,082-871-8600,082-871-8863,現存,○,,132.2804275,34.26160021
訪問介護,安佐南区,3470213525,株式会社日本エルダリーケアサービス,おおぞら介護安佐南サービスセンター,731-0113,広島市安佐南区西原四丁目３３番４１号第２森下ビル２０３号,082-850-0892,082-871-8143,現存,○,,132.2758616,34.26093737
訪問介護,安佐南区,3470106265,医療法人好縁会,ふれあい訪問介護ステーション西原,731-0113,広島市安佐南区西原八丁目１６番１６号１－１０１,082-555-5808,082-962-0705,現存,○,,132.2826905,34.26371256
訪問介護,安佐南区,3470211131,医療法人社団聖愛会,ぎおん牛田病院ヘルパーステーション,731-0113,広島市安佐南区西原八丁目２９番２４号,082-875-0134,082-875-0135,現存,○,,132.2815156,34.26338952
訪問介護,安佐南区,3470209309,株式会社良隣,訪問介護事業所となり,731-0113,広島市安佐南区西原六丁目２９ー１２コーポＦ．Ｍ．Ａ２０１,082-555-8688,082-555-8701,現存,○,,132.2811223,34.26200058
訪問介護,安佐南区,3470214770,株式会社ゆたか,訪問介護ステーションゆたか,731-0102,広島市安佐南区川内ニ丁目３番５０－１０２号,082-295-9997,082-295-9995,現存,○,,132.2902397,34.27307182
訪問介護,安佐南区,3470207840,株式会社不二ビルサービス,ヘルパーステーションふじ川内,731-0102,広島市安佐南区川内一丁目１５番１号,082-831-2166,082-877-3363,現存,○,,132.2905451,34.27311674
訪問介護,安佐南区,3470203682,社会福祉法人楽友会,訪問介護事業所川内の里,731-0102,広島市安佐南区川内一丁目２１番２９号,082-831-1125,082-876-1094,現存,○,,132.2906025,34.27233284
訪問介護,安佐南区,3470212048,特定非営利活動法人地域の絆,訪問介護事業所川内,731-0102,広島市安佐南区川内五丁目１番４９号,082-846-6673,082-876-3120,現存,○,,132.2919605,34.28026839
訪問介護,安佐南区,3470207956,社会福祉法人グリーンコープ,ふくしサービスセンターくろーばーネット,731-0102,広島市安佐南区川内六丁目２０番５号,082-870-4652,082-870-3020,現存,○,,132.2924675,34.28185534
訪問介護,安佐南区,3470206966,有限会社ユメヤコーポレーション,ユメヤ訪問介護事業所,731-0141,広島市安佐南区相田五丁目３５番４号,082-872-6068,082-832-6146,現存,○,,132.2647266,34.28025008
訪問介護,安佐南区,3470207410,株式会社カジカワ,はなまる訪問介護サービス,731-0125,広島市安佐南区大町西三丁目１１番４５－３号,082-555-1415,082-555-1416,現存,○,,132.274587,34.27566511
訪問介護,安佐南区,3470214820,株式会社ケア２１,ケア２１古市橋,731-0124,広島市安佐南区大町東一丁目１２番８号,082-870-7521,,現存,○,,132.2804327,34.2716281
訪問介護,安佐南区,3470202767,日本基準寝具株式会社,エコール在宅介護ステーション,731-0124,広島市安佐南区大町東一丁目１8番４4号,082-830-5155,082-830-5157,現存,○,,132.2755496,34.27112227
訪問介護,安佐南区,3470215215,株式会社ＣＹＳ,訪問介護サービスつばめ,731-0124,広島市安佐南区大町東三丁目31番24-6号植木ビル２０１,082-836-7307,082-836-7308,現存,○,,132.2743027,34.28002913
訪問介護,安佐南区,3470201934,医療法人あかね会,土谷ヘルパーステーション大町,731-0124,広島市安佐南区大町東二丁目７番２４号,082-831-6654,082-831-6652,現存,○,,132.2809033,34.27437624
訪問介護,安佐南区,3470213756,株式会社ニチイ学館,ニチイケアセンター大塚西,731-3167,広島市安佐南区大塚西三丁目３番１４－１号１階,082-849-6359,082-849-0349,現存,○,,132.2346444,34.26377993
訪問介護,安佐南区,3470203021,株式会社アイ・テック,株式会社アイ・テック介護サービスふれあい安佐南事業所,731-0122,広島市安佐南区中筋一丁目１３番３号西幸ビル３Ｆ,082-831-6580,082-831-6581,現存,○,,132.2831334,34.26499408
訪問介護,安佐南区,3470108584,株式会社優空,ゆうそら広島,731-0122,広島市安佐南区中筋一丁目９番６号ロイヤルニシムラ５０１号室,082-847-5665,082-847-5664,現存,○,,132.2834513,34.27013028
訪問介護,安佐南区,3470201892,サンキ・ウエルビィ株式会社,サンキ・ウエルビィ介護センター安佐南,731-0122,広島市安佐南区中筋四丁目４番２１－２０１号,082-831-1070,082-831-1071,現存,○,,132.2848983,34.27330887
訪問介護,安佐南区,3470205695,株式会社クォーレ,株式会社クォーレ広島安佐南支店,731-0121,広島市安佐南区中須一丁目１４番１０号長谷川ビル３０２,082-877-9060,082-877-9080,現存,○,,132.2817795,34.27208238
訪問介護,安佐南区,3470203237,生活協同組合ひろしま,生協ひろしま介護サービス・安佐南,731-0121,広島市安佐南区中須一丁目１６番１０号エルサンク濱岡１階,082-830-0812,082-830-0813,現存,○,,132.2816603,34.27235929
訪問介護,安佐南区,3470211396,医療法人あすか,ヘルパーステーションあすか大町,731-0121,広島市安佐南区中須一丁目２６番１２号,082-879-1226,082-879-1168,現存,○,,132.2818028,34.27407473
訪問介護,安佐南区,3470200563,株式会社ニチイ学館,ニチイケアセンター中筋,731-0121,広島市安佐南区中須一丁目２９番２３号ソレーユ西山１階東,082-831-1069,082-831-1068,現存,○,,132.2820739,34.27361737
訪問介護,安佐南区,3470212253,合同会社カーム,ヘルパーステーション幸家,731-0135,広島市安佐南区長束四丁目９番４－２０７号,082-230-0227,082-230-0228,現存,○,,132.2715952,34.25458945
訪問介護,安佐南区,3470215512,株式会社ニックス,ニックス安佐南訪問介護事業所,731-0135,広島市安佐南区長束二丁目１２番２８号,082-962-7405,082-962-7406,現存,○,,132.2732474,34.25435981
訪問介護,安佐南区,3470213640,社会福祉法人創造,訪問介護ゆえん,731-0135,広島市安佐南区長束六丁目１０番８号,082-225-7620,082-555-0200,現存,○,,132.2712205,34.2604174
訪問介護,安佐南区,3470206735,有限会社みこころ,みこころケアセンター,731-0135,広島市安佐南区長束六丁目４番１号,082-874-3556,082-874-3941,現存,○,,132.2726818,34.26049594
訪問介護,安佐南区,3470207246,社会福祉法人慈光会,東原慈光園訪問介護事業所,731-0112,広島市安佐南区東原三丁目１４番４号,082-850-1108,082-850-1107,現存,○,,132.2850864,34.26522611
訪問介護,安佐南区,3470214937,ArkProjects合同会社,アーク訪問介護事業所,731-0111,広島市安佐南区東野一丁目２１番３１－１０１号,082-846-6620,,現存,○,,132.2854648,34.26514683
訪問介護,安佐南区,3470211750,富士メディカル株式会社,メリィヘルパーセンター八木,731-0101,広島市安佐南区八木一丁目１９番１号,082-836-6033,082-836-6034,現存,○,,132.2931025,34.28359578
訪問介護,安佐南区,3470212923,合同会社くーる,ヘルパーステーション心結,731-0101,広島市安佐南区八木四丁目２９番４-４号,082-836-5234,082-836-5235,現存,○,,132.2949675,34.29082788
訪問介護,安佐南区,3470201439,社会福祉法人和楽会,和楽荘訪問介護事業部,731-3169,広島市安佐南区伴西五丁目１４３２番地１,082-848-5000,082-848-4579,現存,○,,132.2233007,34.27343606
訪問介護,安佐南区,3470212790,株式会社Merci,ヘルパーステーション梨杏,731-3165,広島市安佐南区伴中央六丁目１番５－４号２F,082-555-1239,082-555-0063,休止,○,,132.2426932,34.27275598
訪問介護,安佐南区,3470207253,有限会社エムエヌティー,訪問介護事業所がんじゅう,731-3164,広島市安佐南区伴東ニ丁目６番１号２０１号室,082-848-2241,082-962-3760,現存,○,,132.2517407,34.28183914
訪問介護,安佐南区,3470215926,医療法人信愛会,ヘルパーステーションしんあい,731-3164,広島市安佐南区伴東五丁目８－２４,082-209-8811,082-848-8868,現存,○,,132.2528094,34.28035613
訪問介護,安佐南区,3470208202,株式会社Ｍ・Ｆａｍｉｌｙ,ヘルパーステーションくれよん,731-3164,広島市安佐南区伴東七丁目１４番４４号,082-849-4039,082-849-4039,現存,○,,132.2509514,34.27475625
訪問介護,安佐南区,3470212451,株式会社やさい畑,たまねぎ訪問介護事業所,731-3164,広島市安佐南区伴東七丁目３０番５－２０２号,082-962-0841,082-942-5838,現存,○,,132.2459413,34.27540771
訪問介護,安佐南区,3470214945,トラパンダ合同会社,ねこりんご訪問介護事業所,731-3164,広島市安佐南区伴東七丁目４１番１２号,082-849-1185,082-849-4516,現存,○,,132.2451106,34.27475073
訪問介護,安佐南区,3470207709,株式会社絆,ヘルパーステーション絆,731-3164,広島市安佐南区伴東七丁目５５番９号,082-848-8816,082-555-4692,現存,○,,132.2445743,34.27463392
訪問介護,安佐南区,3470214325,合同会社オレンジ,介護ステーションオレンジ,731-3164,広島市安佐南区伴東二丁目５３番１６号１０,082-554-1521,,現存,○,,132.2507521,34.28365727
訪問介護,安佐南区,3470204102,有限会社TOMO,さくら・介護ステーションとも,731-3168,広島市安佐南区伴南一丁目８番１２号,082-848-5491,082-848-4954,現存,○,,132.2254819,34.26580375
訪問介護,安佐南区,3470213723,社会福祉法人ぐくる,訪問介護事業所若葉台,731-3163,広島市安佐南区伴北七丁目３２番２７号,082-849-0861,082-848-5078,現存,○,,132.2411924,34.29055682
訪問介護,安佐南区,3470215322,株式会社トラスティサポート,サポートセンターとらいあんぐる安佐南,731-0103,広島市安佐南区緑井二丁目２１番２４－１０４号,082-573-5575,082-573-5585,現存,○,,132.2823625,34.2752746
訪問介護,安佐南区,3470212774,特定非営利活動法人障害者生活ケアLinkｓ広島,Ｌinks広島,731-0103,広島市安佐南区緑井二丁目２５番２４号,082-831-6066,082-559-2109,現存,○,,132.2817083,34.27513632
訪問介護,安佐南区,3470214606,株式会社　vert,介護事業所　そらいろ,731-0103,広島市安佐南区緑井二丁目28番31号長和ビル204号室,082-836-4378,,現存,○,,132.2814848,34.28003895
訪問介護,安佐南区,3470204516,有限会社すばる,すばる訪問介護事業所,731-0103,広島市安佐南区緑井六丁目３４番３１号,082-879-0239,082-879-0250,現存,○,,132.2851646,34.28157989
訪問介護,安佐北区,3470105069,有限会社平野,ふぁみりぃ訪問介護事業所,731-3361,広島市安佐北区あさひが丘一丁目１番８号,082-838-4165,082-838-2600,現存,○,,132.2630799,34.30032604
訪問介護,安佐北区,3470109947,合同会社安佐,訪問介護事業所安佐陽,731-3363,広島市安佐北区安佐町くすの木台１５番地３,082-554-7966,082-573-3636,現存,○,,132.2325446,34.30162325
訪問介護,安佐北区,3470110606,特定非営利活動法人あおい糸,あおい糸広島飯室,731-1142,広島市安佐北区安佐町飯室１３６５番地①,070-5508-4822,,休止,○,,132.2653189,34.33286869
訪問介護,安佐北区,3470109673,一般社団法人ｐｌｕｓ－ｇ,ななおケア,731-1142,広島市安佐北区安佐町飯室１４０９番地,082-578-0514,082-578-0514,現存,○,,132.2656099,34.33166921
訪問介護,安佐北区,3470105614,有限会社２１,訪問介護事業所あい,731-1142,広島市安佐北区安佐町飯室１６６５番地３,082-810-2105,082-810-2158,現存,○,,132.26476,34.33074586
訪問介護,安佐北区,3470109780,合同会社with,ヘルパーステーションつむぎ,731-1142,広島市安佐北区安佐町飯室２９０１番地５,082-516-7097,082-516-7098,現存,○,,132.2544933,34.32395586
訪問介護,安佐北区,3470102280,医療法人秀仁会,訪問介護ステーション菜の花,731-0221,広島市安佐北区可部五丁目４番１９－３号,082-814-0008,082-819-1140,現存,○,,132.3033953,34.31171749
訪問介護,安佐北区,3470108964,有限会社ユメヤコーポレーション,ユメヤ訪問介護事業所安佐北,731-0221,広島市安佐北区可部五丁目５番３－４号シャトレーM２０２号,082-559-1517,082-559-1518,現存,○,,132.30315,34.31184482
訪問介護,安佐北区,3470100953,医療法人社団恵正会,にのみや訪問介護事業所,731-0221,広島市安佐北区可部五丁目９番３号,082-819-3561,082-819-1238,現存,○,,132.3030391,34.31166437
訪問介護,安佐北区,3470105002,社会福祉法人フェニックス,ヘルパーステーションかんべ村,731-0221,広島市安佐北区可部七丁目１３番１５－１－７号,082-812-3588,082-812-3589,現存,○,,132.3039456,34.31277285
